"College Name","College URL","State","City","Stream","Type","Sub-Type"
"Indian Institute of Technology Bombay","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Maharashtra","Mumbai","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Delhi","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Delhi","New Delhi","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Madras","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Tamil Nadu","Chennai","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Kanpur","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Uttar Pradesh","Kanpur","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Kharagpur","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","West Bengal","Kharagpur","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Roorkee","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Uttarakhand","Roorkee","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Guwahati","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Assam","Guwahati","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Hyderabad","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Telangana","Hyderabad","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Varanasi","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Uttar Pradesh","Varanasi","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Indore","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Madhya Pradesh","Indore","Engineering,Research","Govt","IIT"
"Indian Institute of Technology (ISM) Dhanbad","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Jharkhand","Dhanbad","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Gandhinagar","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Gujarat","Gandhinagar","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Ropar","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Punjab","Ropar","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Bhubaneswar","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Odisha","Bhubaneswar","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Patna","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Bihar","Patna","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Jodhpur","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Rajasthan","Jodhpur","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Mandi","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Himachal Pradesh","Mandi","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Tirupati","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Andhra Pradesh","Tirupati","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Palakkad","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Kerala","Palakkad","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Bhilai","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Chhattisgarh","Bhilai","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Goa","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Goa","Ponda","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Jammu","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Jammu and Kashmir","Jammu","Engineering,Research","Govt","IIT"
"Indian Institute of Technology Dharwad","https://www.collegepravesh.com/college-finder/iit-colleges-in-india/","Karnataka","Dharwad","Engineering,Research","Govt","IIT"
"National Institute of Technology Tiruchirappalli","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Tamil Nadu","Tiruchirappalli","Engineering","Govt","NIT"
"National Institute of Technology Karnataka, Surathkal","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Karnataka","Mangalore","Engineering","Govt","NIT"
"National Institute of Technology Rourkela","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Odisha","Rourkela","Engineering","Govt","NIT"
"National Institute of Technology Warangal","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Telangana","Warangal","Engineering","Govt","NIT"
"National Institute of Technology Calicut","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Kerala","Calicut","Engineering","Govt","NIT"
"National Institute of Technology Nagpur","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Maharashtra","Nagpur","Engineering","Govt","NIT"
"National Institute of Technology Durgapur","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","West Bengal","Durgapur","Engineering","Govt","NIT"
"National Institute of Technology Kurukshetra","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Haryana","Kurukshetra","Engineering","Govt","NIT"
"National Institute of Technology Allahabad","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Uttar Pradesh","Allahabad","Engineering","Govt","NIT"
"National Institute of Technology Jaipur","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Rajasthan","Jaipur","Engineering","Govt","NIT"
"National Institute of Technology Bhopal","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Madhya Pradesh","Bhopal","Engineering","Govt","NIT"
"National Institute of Technology Jalandhar","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Punjab","Jalandhar","Engineering","Govt","NIT"
"National Institute of Technology Patna","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Bihar","Patna","Engineering","Govt","NIT"
"National Institute of Technology Raipur","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Chhattisgarh","Raipur","Engineering","Govt","NIT"
"National Institute of Technology Agartala","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Tripura","Agartala","Engineering","Govt","NIT"
"National Institute of Technology Goa","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Goa","Ponda","Engineering","Govt","NIT"
"National Institute of Technology Puducherry","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Puducherry","Karaikal","Engineering","Govt","NIT"
"National Institute of Technology Delhi","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Delhi","New Delhi","Engineering","Govt","NIT"
"National Institute of Technology Sikkim","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Sikkim","Ravangla","Engineering","Govt","NIT"
"National Institute of Technology Arunachal Pradesh","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Arunachal Pradesh","Papum Pare","Engineering","Govt","NIT"
"National Institute of Technology Meghalaya","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Meghalaya","Shillong","Engineering","Govt","NIT"
"National Institute of Technology Mizoram","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Mizoram","Aizawl","Engineering","Govt","NIT"
"National Institute of Technology Nagaland","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Nagaland","Dimapur","Engineering","Govt","NIT"
"National Institute of Technology Manipur","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Manipur","Imphal","Engineering","Govt","NIT"
"National Institute of Technology Uttarakhand","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Uttarakhand","Garhwal","Engineering","Govt","NIT"
"National Institute of Technology Hamirpur","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Himachal Pradesh","Hamirpur","Engineering","Govt","NIT"
"National Institute of Technology Srinagar","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Jammu and Kashmir","Srinagar","Engineering","Govt","NIT"
"National Institute of Technology Jamshedpur","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Jharkhand","Jamshedpur","Engineering","Govt","NIT"
"National Institute of Technology Silchar","https://www.collegepravesh.com/college-finder/nit-colleges-in-india/","Assam","Silchar","Engineering","Govt","NIT"
"Indian Institute of Information Technology Allahabad","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Uttar Pradesh","Allahabad","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Gwalior","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Madhya Pradesh","Gwalior","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Jabalpur","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Madhya Pradesh","Jabalpur","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Kancheepuram","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Tamil Nadu","Chennai","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Lucknow","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Uttar Pradesh","Lucknow","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Vadodara","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Gujarat","Vadodara","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Kota","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Rajasthan","Kota","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Guwahati","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Assam","Guwahati","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Sonepat","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Haryana","Sonepat","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Una","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Himachal Pradesh","Una","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Ranchi","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Jharkhand","Ranchi","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Nagpur","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Maharashtra","Nagpur","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Pune","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Maharashtra","Pune","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Bhagalpur","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Bihar","Bhagalpur","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Bhopal","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Madhya Pradesh","Bhopal","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Surat","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Gujarat","Surat","Engineering","PPP","IIIT"
"Indian Institute of Information Technology Agartala","https://www.collegepravesh.com/college-finder/iiit-colleges-in-india/","Tripura","Agartala","Engineering","PPP","IIIT"
